Districts,latitude,longitude
JANGAON ,17.7227,79.1518
MEDAK ,18.0462,78.2632
PEDDAPALLI ,18.6151,79.3827
WARANGAL (U),18.0072,79.5584
KOMARAM BHEEM ,19.3576,79.4704
NALGONDA ,17.0577,79.2684
KARIMNAGAR ,18.4386,79.1288
SURYAPET ,17.1350,79.6288
NIRMAL ,19.0964,78.3430
KHAMMAM ,17.1456,80.1875
NIZAMABAD ,18.6725,78.0941
MAHABUBABAD,17.5980,79.9917
VIKARABAD ,17.3365,77.9048
RANGAREDDY ,17.2000,78.5505
RAJANNA ,18.3866,78.8022
JAYASHANKAR ,18.4293,79.8635
KAMAREDDY ,18.3205,78.3370
NAGARKURNOOL ,16.4855,78.3173
SANGAREDDY ,17.6075,78.0798
YADADRI ,17.4533,78.9288
JOGULAMBA ,16.0908,77.8367
WANAPARTHY ,16.3623,78.0621
MAHABUBNAGAR,16.7488,78.0035
ADILABAD,19.6766,78.5321
MEDCHAL,17.6323,78.4805
JAGTIAL ,18.7895,78.9120
HYDERABAD,17.4065,78.4772
WARANGAL (R) ,17.9693,79.5926
MANCHERIAL ,18.8714,79.4443
SIDDIPET ,18.1018,78.8520
BHADRADRI,17.7331,80.7214
